Marca,Modelo,Ano do Modelo,Cor Principal,Cor(es) Segundária(s),Código,Fabricante,Notas/Tema
Acura,90 NSX,1990,Yellow,,HTB04-N521,Hot Wheels,
Aston Martin,Vantage GT8 Racing,2016,Dark Green,,2290-3,Majorette,"Nº57, Detalhes Dourados"
Audi,90 Quattro,,Black,White,JCB04-N521 21A,Hot Wheels,
Batman,Batmobile,1992,Black,Yellow,HTB23-N521,Hot Wheels,The Animated Series
Batman,Batmobile,2008,Black,Red,HYY83-N521 21A,Hot Wheels,The Brave and the Bold (Série de TV)
Batman,Batmobile,2022,Black,,JJH83-N521 21A,Hot Wheels,The Batman (Filme)
Batman,Batmobile,2009,Black,,JJH83-N521 21A,Hot Wheels,Arkham Asylum (Videojogo)
Bentley ,Continental GT3,2018,Gold,Black,JBC18-N521 21A,Hot Wheels,
BMW,I8 Roadster ,,White,Black,JCB76-ND711 21A,Hot Wheels,
Bugatti,Veyron,2005,White,Blue,FPY86 HRW06-LA10,Hot Wheels,(Produção: 2005–2015)
Cadillac,Project GTP Hypercar,2023,Yellow,,HYX40-N521 21A,Hot Wheels,Lançado para a época de corridas de 2023
Cars,Sally,,Blue,,FJH98-JA15 19A,Hot Wheels,Disney Pixar Cars
Cupra,e-RACER,2018,Purple,,HYW15-N521 21A,Hot Wheels,Modelo de corrida revelado em 2018
Custom Datsun,240Z,1970,Orange,White,HRT81 HRV10-LA12,Hot Wheels,
Czinger,21C,2020,Orange,,JBB31-N521 21A,Hot Wheels,(Protótipo revelado em 2020; produção a partir de 2021)
Datsun,1975 Sunny Truck (B120),1975,Turquoise,,HYX36-N521 21A,Hot Wheels,
Dodge,Viper RT/10,1993,Yellow,Black,HKH43-N521,Hot Wheels,(Primeiro ano de produção)
Fast & Furious (Chevy),El Camino,1967,Black,,HYY83-N521,Hot Wheels,
Ferrari ,365 GTB4 Competizione,,Yellow,,JBC19-N522 21A,Hot Wheels,
Ferrari ,SF90 Stradale,2024,Gray,,HYY08-N522 G1 21A,Hot Wheels,
Ford,17 GT,2017,White,Red,HTC26-N521,Hot Wheels,
Ford,Escort,1997,Black,Gold\White,JBB17-N521 21A,Hot Wheels,Rally Car (Ano de estreia no WRC)
Ford,67 Mustang Coupe,1967,White,Red,HYY62-N521 21A,Hot Wheels,
Ford,Mustang Mach-E 1400,2020,Dark Blue,,JJH86-N522 21A,Hot Wheels,Modelo de protótipo de corrida
Ford,Mustang GTD,,Blue,Gold,JBB93-N521 21A,Hot Wheels,
Ford,RS200,,Blue,Orange,JBB49-N521 21A,Hot Wheels,Pintura Gulf Nº200
Formula E,Gen 3,,,,HYY56-N522 21A,Hot Wheels,Mclaren
Gordon Murray Automotive,T.50s,2023,Orange,Black,HRY89-N521,Hot Wheels,(Versão de pista revelada em 2023)
Gordon Murray Automotive,T.33,2022,Gray,,HYW23 N521 21A,Hot Wheels,(Revelado em Janeiro de 2022)
Hot Wheels Original,Pass 'n Go,2025,Silver,,JJH30-N522 21A,Hot Wheels,Monopoly 90 Years
K.I.T.T. (Pontiac),K.I.T.T.,1982,Black,,HYX27 N521 21A,Hot Wheels,Knight Rider (Ano de estreia da série)
Koenigsegg,2020 Jesko,2020,Purple,,HTC21-N521,Hot Wheels,
Lamborghini,Sesto Elemento,2010,White,Red,HTC23-N522,Hot Wheels,(Revelado no Paris Motor Show 2010)
Lamborghini,Huracán Sterrato,2023,Orange,Black,HRY87-N521,Hot Wheels,(Comercializado a partir de Março de 2023)
Lamborghini,71 Miura SV,1971,Black\Gold,,HYX73-N521 21A,Hot Wheels,
Land Rover,Defender,1990,Green,Black,JBC16-N521 G1 21A,Hot Wheels,Nº 68
Land Rover,Defender Double Cab,2015,Yellow,Black,JBC00-N521 21A,Hot Wheels,
Maserati,Shamal,,Blue,,JJH92-N521 21A,Hot Wheels,
Mazda,15 MX-5 Miata,2015,Red,White\Black,JBB18 N521 21A,Hot Wheels,Nº15
McLaren,P1,2013,Red,,HTD92-N521,Hot Wheels,(Produção: 2013–2015)
McLaren,Speedtail,2020,Red,,JBB28-N521 21A,Hot Wheels,(Primeiras entregas em 2020)
McLaren,W1,2025,Gray,,JBC17-N521 21A,Hot Wheels,
McMurtry,Spéirling,2021,Gray,,HYW55-N521 21A,Hot Wheels,(Ano do recorde Goodwood e produção inicial)
Mercedes-Benz,89 560 SEC AMG,1989,Gray,,JBB11-N521 21A,Hot Wheels,
Mercedes-Benz,560 SEC,1989,Blue,,JBB85-N521 21A,Hot Wheels,
Nissan,2023 Z,2023,Blue,,HKJ11-M521,Hot Wheels,
Porsche,911 Carrera RS 2.7,1972,Red,Black,HTD08-N521,Hot Wheels,(Lançado em 1972)
Porsche,904 Carrera GTS,1963,Beige\Black,,HYX41 N521 21A,Hot Wheels,(Estreia no final de 1963)
Porsche,928S,1983,Red,Black,HYW53-N521 21A,Hot Wheels,
Renault ,Espace F1,,Black,Yellow,JBB76-N521 21A,Hot Wheels,
Rimac,Nevera,2021,Blue,,HKG36-M521,Hot Wheels,(Versão final de produção revelada em Junho de 2021)
Shelby,GT500,1967,Black,Gold,JBB94-N521 21A,Hot Wheels,Nº 67
Toyota,95 Celica GT-Four,1995,Gray,,JDY83 JCB60-ND710,Hot Wheels,
Volkswagen,Bumblebee,1967,Yellow,,HTB35-N521,Hot Wheels,"Transformers (Baseado no VW Beetle/Carocha, filme 2018)"
